structure,method,size,total_time,avgiter,avgaccess,opt
array,index,50,1031486,103,2,0
vector,index,50,4502912,450,9,0
vector,iterator,50,6630781,663,13,0
vector,for_each,50,3795937,379,7,0
array,random,50,3867065,386,7,0
vector,random,50,6394995,639,12,0
array,index,1000,17723423,1772,1,0
vector,index,1000,79318826,7931,7,0
vector,iterator,1000,128045545,12804,12,0
vector,for_each,1000,61595134,6159,6,0
array,random,1000,70566757,7056,7,0
vector,random,1000,119633405,11963,11,0
vector,std::for_each,50,4051784,405,8,0
vector,std::for_each,1000,72172655,7217,7,0
array,index,50,282106,28,0,1
vector,index,50,361554,36,0,1
vector,iterator,50,256179,25,0,1
vector,for_each,50,272732,27,0,1
array,random,50,2891995,289,5,1
vector,random,50,3703083,370,7,1
array,index,1000,4843419,484,0,1
vector,index,1000,6917030,691,0,1
vector,iterator,1000,2604968,260,0,1
vector,for_each,1000,4678806,467,0,1
array,random,1000,62468556,6246,6,1
vector,random,1000,70229355,7022,7,1
vector,std::for_each,50,283513,28,0,1
vector,std::for_each,1000,4693316,469,0,1
array,index,50,157833,15,0,2
vector,index,50,301908,30,0,2
vector,iterator,50,148325,14,0,2
vector,for_each,50,168206,16,0,2
array,random,50,3339396,333,6,2
vector,random,50,3316413,331,6,2
array,index,1000,153171,15,0,2
vector,index,1000,2757088,275,0,2
vector,iterator,1000,185416,18,0,2
vector,for_each,1000,148634,14,0,2
array,random,1000,56030131,5603,5,2
vector,random,1000,69862597,6986,6,2
vector,std::for_each,50,148968,14,0,2
vector,std::for_each,1000,148935,14,0,2
array,index,50,161424,16,0,3
vector,index,50,299207,29,0,3
vector,iterator,50,146103,14,0,3
vector,for_each,50,149209,14,0,3
array,random,50,3202425,320,6,3
vector,random,50,3217585,321,6,3
array,index,1000,145340,14,0,3
vector,index,1000,2552107,255,0,3
vector,iterator,1000,145608,14,0,3
vector,for_each,1000,161162,16,0,3
array,random,1000,54126213,5412,5,3
vector,random,1000,70367919,7036,7,3
vector,std::for_each,50,150530,15,0,3
vector,std::for_each,1000,147409,14,0,3
array,index,50,1030539,103,2,0
vector,index,50,4550122,455,9,0
vector,iterator,50,7038257,703,14,0
vector,for_each,50,3742977,374,7,0
array,random,50,4228980,422,8,0
vector,random,50,6491711,649,12,0
array,index,1000,17931686,1793,1,0
vector,index,1000,79860441,7986,7,0
vector,iterator,1000,133046385,13304,13,0
vector,for_each,1000,66036477,6603,6,0
array,random,1000,74414402,7441,7,0
vector,random,1000,126284155,12628,12,0
vector,std::for_each,50,4251478,425,8,0
vector,std::for_each,1000,77717550,7771,7,0
array,index,50,275393,27,0,1
vector,index,50,353334,35,0,1
vector,iterator,50,263606,26,0,1
vector,for_each,50,255610,25,0,1
array,random,50,3088254,308,6,1
vector,random,50,3739683,373,7,1
array,index,1000,4711244,471,0,1
